M003,Συναυλία Λαϊκού,Γιώργος Νταλάρας,Θέατρο Λυκαβηττού,2025-09-15
M002,Τζαζ Εσπερίδα,Γιάννης Πάριος,Μέγαρο Μουσικής,2025-08-25
M001,Ροκ Συναυλία,Πάνος Μουζουράκης,Στάδιο Ειρήνης και Φιλίας,2025-06-20
M004,Κλασική Βραδιά,Μαρία Φαραντούρη,Ηρώδειο,2025-10-10
M005,Pop Festival,Ελένη Φουρέιρα,ΟΑΚΑ,2025-07-05
M006,Βραδιά Μπουζουκιού,Στέλιος Ρόκκος,Θέατρο Βράχων,2025-09-30
M007,Συναυλία Πιάνου,Κώστας Χατζής,Δημοτικό Θέατρο Πειραιά,2025-11-12
M008,Ethnic Night,Imam Baildi,Τεχνόπολη,2025-08-18
M009,Συναυλία LEX,LEX,Θέατρο Πέτρας,2025-09-22
M010,Bloody Hawk Live,Bloody Hawk,Θέατρο Βράχων,2025-10-03
M011,Ricta Showcase,Ricta,Τεχνόπολη,2025-08-28
